2026-09-11 19:08:09,574 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: settings, Método: GET
2026-09-11 19:08:09,705 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: mfa_status, Método: GET
2026-09-11 19:08:09,738 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:08:09,748 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:08:27,499 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: set_language, Método: GET
2026-09-11 19:08:27,537 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: settings, Método: GET
2026-09-11 19:08:27,668 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: mfa_status, Método: GET
2026-09-11 19:08:27,696 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:08:27,705 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:08:30,648 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: logout, Método: GET
2026-09-11 19:08:30,679 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: login, Método: GET
2026-09-11 19:08:30,781 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 19:08:30,799 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 19:08:30,809 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 19:09:05,618 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: login, Método: GET
2026-09-11 19:09:05,715 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 19:09:05,727 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 19:09:05,747 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 19:09:05,758 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 19:09:07,949 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: login, Método: GET
2026-09-11 19:09:12,869 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: login, Método: POST
2026-09-11 19:09:13,151 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: dashboard, Método: GET
2026-09-11 19:09:13,238 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:13,247 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:13,252 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:13,259 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:13,295 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:13,303 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:13,318 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:13,800 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:13,849 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: None, Método: GET
2026-09-11 19:09:16,618 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: painel, Método: GET
2026-09-11 19:09:16,754 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:18,472 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: netscope.page, Método: GET
2026-09-11 19:09:18,585 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:20,654 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: search, Método: GET
2026-09-11 19:09:20,797 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:24,848 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: painel, Método: GET
2026-09-11 19:09:27,043 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: search, Método: GET
2026-09-11 19:09:28,571 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: settings, Método: GET
2026-09-11 19:09:28,701 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,459 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: settings, Método: GET
2026-09-11 19:09:38,535 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,540 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,547 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,552 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,558 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,564 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,568 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,587 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,603 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,611 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: mfa_status, Método: GET
2026-09-11 19:09:38,623 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:38,641 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:09:38,650 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:09:38,738 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:41,033 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: dashboard, Método: GET
2026-09-11 19:09:41,162 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:41,168 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:09:41,297 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:09:41,306 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:09:41,316 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:09:41,326 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: get_chart_data, Método: GET
